Отметка времени,Баллы,gender,age,degree,educational_program,year_of_study,average_gpa,average_attendance,preferred_field_of_study,self_study_hours,average_sleep_hours,motivation_level,has_job,financial_support_from_family,stress_frequency,communication_skills,teacher_competence_satisfaction,use_of_university_resources,importance_of_interest_in_subject,exam_preparation_hours,most_influencing_factor
2025-11-26 08:49:00.738,0,male,20-21,master,7M06105 Computer Science and Engineering,1 year,3.1-3.2,80-89%,technical sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,amount of self-study
2025-11-26 08:50:18.712,0,male,20-21,master,7M06105 Computer Science and Engineering,1 year,3.3-3.4,80-89%,humanities,more than 4 hours,more than 10 hours,high,no,full support,often,high,rather satisfied,often,important,9–15 hours,family support
2025-11-26 08:51:15.846,0,male,20-21,master,7M06105 Computer Science and Engineering,1 year,3.1-3.2,80-89%,humanities,1-3 hours,7-9 hours,average,no,partial support,sometimes,high,rather satisfied,rarely,slightly important,2–8 hours,personal motivation
2025-11-26 08:52:14.421,0,male,20-21,master,7M06105 Computer Science and Engineering,1 year,3.3-3.4,80-89%,humanities,1-3 hours,7-9 hours,high,"yes, part-time",partial support,often,high,rather satisfied,never,moderately important,2–8 hours,financial situation
2025-11-26 08:54:13.390,0,male,20-21,master,7M06105 Computer Science and Engineering,1 year,3.1-3.2,80-89%,humanities,less than 1 hour,7-9 hours,high,"yes, part-time",partial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,quality of teaching
2025-11-26 08:55:10.350,0,male,above 24,master,7M06105 Computer Science and Engineering,2 year,3.3-3.4,80-89%,humanities,1-3 hours,7-9 hours,average,"yes, full-time",no financial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,quality of teaching
2025-11-26 08:56:08.835,0,male,22-23,master,7M06105 Computer Science and Engineering,2 year,above 3.5,90-100%,technical sciences,1-3 hours,7-9 hours,high,no,full support,often,high,rather satisfied,rarely,important,2–8 hours,quality of teaching
2025-11-26 08:56:59.073,0,male,22-23,master,7M06105 Computer Science and Engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",no financial support,sometimes,low,hard to say,often,important,2–8 hours,interest in the subject
2025-11-26 08:58:36.271,0,female,20-21,master,7M06105 Computer Science and Engineering,1 year,3.1-3.2,90-100%,technical sciences,1-3 hours,7-9 hours,high,"yes, part-time",partial support,often,high,rather satisfied,rarely,important,2–8 hours,quality of teaching
2025-11-26 09:01:44.544,0,male,20-21,master,7M06105 Computer Science and Engineering,1 year,3.1-3.2,80-89%,humanities,more than 4 hours,more than 10 hours,high,no,full support,often,high,rather satisfied,rarely,slightly important,9–15 hours,personal motivation
2025-11-26 09:11:30.055,0,male,20-21,master,7M06105 Computer Science and Engineering,1 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,"yes, part-time",partial support,rarely,average,hard to say,sometimes,moderately important,2–8 hours,personal motivation
2025-11-26 10:12:00.074,0,male,22-23,master,7M06105 Computer Science and Engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,no,full support,rarely,average,rather satisfied,sometimes,moderately important,9–15 hours,personal motivation
2025-11-26 10:20:30.051,0,male,20-21,master,7M06105 Computer Science and Engineering,1 year,below 2.7,below 70%,humanities,1-3 hours,7-9 hours,low,"yes, full-time",no financial support,rarely,low,rather dissatisfied,never,slightly important,do not prepare,financial situation
2025-11-26 10:22:18.053,0,female,20-21,master,7M06105 Computer Science and Engineering,1 year,below 2.7,below 70%,humanities,do not prepare,7-9 hours,very low,"yes, full-time",no financial support,never,very low,not satisfied at all,never,not important,do not prepare,personal motivation
2025-11-26 10:23:33.180,0,male,22-23,master,7M06105 Computer Science and Engineering,2 year,3.3-3.4,80-89%,computer sciences,1-3 hours,more than 10 hours,high,no,partial support,rarely,high,rather satisfied,never,slightly important,9–15 hours,quality of teaching
2025-11-26 10:24:18.597,0,male,22-23,master,7M06105 Computer Science and Engineering,2 year,above 3.5,90-100%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",no financial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,quality of teaching
2025-11-26 10:25:15.969,0,male,22-23,master,7M06105 Computer Science and Engineering,1 year,above 3.5,90-100%,computer sciences,1-3 hours,less than 6 hours,high,"yes, full-time",no financial support,often,high,rather satisfied,often,important,9–15 hours,interest in the subject
2025-11-26 10:26:06.619,0,male,22-23,master,7M06105 Computer Science and Engineering,1 year,3.3-3.4,90-100%,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",full support,often,high,rather satisfied,rarely,not important,9–15 hours,family support
2025-11-26 10:27:13.886,0,male,22-23,master,7M06105 Computer Science and Engineering,1 year,3.3-3.4,80-89%,computer sciences,1-3 hours,7-9 hours,average,no,partial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,amount of self-study
2025-11-26 10:28:22.947,0,male,22-23,master,7M06105 Computer Science and Engineering,1 year,3.1-3.2,80-89%,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",no financial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,personal motivation
2025-11-26 10:29:40.146,0,male,22-23,master,7M06105 Computer Science and Engineering,2 year,3.1-3.2,80-89%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,high,rather satisfied,often,important,less than 1 hour,amount of self-study
2025-11-26 18:59:50.722,0,male,20-21,master,7M06105 Computer Science and Engineering,2 year,2.8-3.0,70-79%,computer sciences,1-3 hours,more than 10 hours,average,no,full support,sometimes,average,hard to say,rarely,important,2–8 hours,quality of teaching
2025-11-26 19:00:35.093,0,female,20-21,master,7M06105 Computer Science and Engineering,2 year,2.8-3.0,70-79%,computer sciences,1-3 hours,7-9 hours,low,"yes, full-time",no financial support,rarely,low,rather dissatisfied,rarely,slightly important,do not prepare,financial situation
2025-11-26 19:01:29.482,0,female,22-23,master,7M06105 Computer Science and Engineering,2 year,2.8-3.0,70-79%,computer sciences,do not prepare,less than 6 hours,low,"yes, full-time",no financial support,rarely,low,not satisfied at all,never,not important,do not prepare,financial situation
2025-11-26 19:02:19.699,0,male,22-23,master,7M06105 Computer Science and Engineering,2 year,2.8-3.0,70-79%,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,sometimes,average,hard to say,sometimes,moderately important,less than 1 hour,interest in the subject
2025-11-26 19:03:53.046,0,male,20-21,master,7M06105 Computer Science and Engineering,1 year,3.1-3.2,80-89%,computer sciences,less than 1 hour,7-9 hours,high,no,full support,often,high,rather satisfied,rarely,important,less than 1 hour,financial situation
2025-11-26 19:05:42.366,0,male,22-23,master,7M06105 Computer Science and Engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,more than 10 hours,high,"yes, part-time",partial support,sometimes,high,hard to say,rarely,important,2–8 hours,family support
2025-11-26 19:06:36.928,0,male,20-21,master,7M06105 Computer Science and Engineering,1 year,3.3-3.4,70-79%,technical sciences,less than 1 hour,7-9 hours,high,no,full support,sometimes,low,hard to say,sometimes,slightly important,2–8 hours,amount of self-study
2025-12-02 18:54:29.275,0,male,16-17,bachelor,7М06107 Media Technologies,1 year,2.8-3.0,90-100%,humanities,1-3 hours,less than 6 hours,average,no,full support,sometimes,very high,fully satisfied,sometimes,very important,9–15 hours,personal motivation
2025-12-02 18:55:12.249,0,male,18-19,bachelor,6B06105 Media Technologies,1 year,above 3.5,90-100%,technical sciences,1-3 hours,7-9 hours,average,no,partial support,rarely,high,fully satisfied,rarely,moderately important,2–8 hours,personal motivation
2025-12-02 19:50:59.428,0,male,22-23,bachelor,6B06105 Media Technologies,1 year,2.8-3.0,90-100%,computer sciences,1-3 hours,7-9 hours,average,no,full support,sometimes,average,rather dissatisfied,sometimes,important,less than 1 hour,financial situation
2025-12-03 08:51:26.290,0,female,20-21,master,7M06105 Computer Science and Engineering,2 year,2.8-3.0,70-79%,computer sciences,less than 1 hour,less than 6 hours,average,"yes, full-time",no financial support,rarely,low,rather dissatisfied,never,moderately important,less than 1 hour,personal motivation
2025-12-03 08:53:05.955,0,female,22-23,master,7M06105 Computer Science and Engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,average,rather satisfied,rarely,moderately important,2–8 hours,financial situation
2025-12-03 08:53:51.715,0,male,22-23,master,7M06105 Computer Science and Engineering,2 year,3.3-3.4,90-100%,technical sciences,more than 4 hours,7-9 hours,high,no,full support,often,average,hard to say,rarely,moderately important,2–8 hours,family support
2025-12-03 08:54:48.445,0,female,20-21,master,7M06105 Computer Science and Engineering,1 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,rarely,high,hard to say,rarely,important,2–8 hours,financial situation
2025-12-03 08:55:45.171,0,male,22-23,master,7M06105 Computer Science and Engineering,2 year,3.3-3.4,90-100%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,rather satisfied,rarely,important,2–8 hours,financial situation
2025-12-03 08:57:19.905,0,female,22-23,master,7M06105 Computer Science and Engineering,2 year,below 2.7,70-79%,technical sciences,1-3 hours,7-9 hours,low,"yes, full-time",no financial support,rarely,average,not satisfied at all,never,not important,do not prepare,interest in the subject
2025-12-03 08:58:42.394,0,female,22-23,master,7M06105 Computer Science and Engineering,2 year,2.8-3.0,70-79%,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,rarely,average,hard to say,never,slightly important,do not prepare,financial situation
2025-12-03 08:59:32.099,0,male,22-23,master,7M06105 Computer Science and Engineering,2 year,3.1-3.2,80-89%,computer sciences,1-3 hours,7-9 hours,high,no,full support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,quality of teaching
2025-12-03 09:00:25.321,0,male,22-23,master,7M06105 Computer Science and Engineering,2 year,3.3-3.4,90-100%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,rather satisfied,often,important,2–8 hours,personal motivation
2025-12-03 09:01:18.499,0,female,22-23,master,7M06105 Computer Science and Engineering,2 year,above 3.5,90-100%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",full support,often,high,rather satisfied,often,important,2–8 hours,personal motivation
2025-12-03 09:02:22.441,0,male,22-23,master,7M06105 Computer Science and Engineering,2 year,2.8-3.0,70-79%,humanities,1-3 hours,7-9 hours,low,"yes, full-time",no financial support,never,low,rather dissatisfied,never,not important,do not prepare,financial situation
2025-12-03 09:11:01.139,0,female,22-23,master,7M06105 Computer Science and Engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,hard to say,rarely,slightly important,2–8 hours,quality of teaching
2025-12-03 09:11:01.206,0,female,22-23,master,7M06105 Computer Science and Engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,hard to say,rarely,slightly important,2–8 hours,quality of teaching
2025-12-03 09:12:02.798,0,female,22-23,master,7M06105 Computer Science and Engineering,2 year,2.8-3.0,70-79%,humanities,less than 1 hour,less than 6 hours,low,"yes, full-time",partial support,rarely,low,rather dissatisfied,never,not important,less than 1 hour,interest in the subject
2025-12-03 09:13:22.661,0,female,22-23,master,7M06105 Computer Science and Engineering,2 year,3.3-3.4,90-100%,humanities,more than 4 hours,more than 10 hours,high,no,full support,rarely,high,rather satisfied,sometimes,moderately important,2–8 hours,family support
2025-12-03 09:15:03.002,0,male,22-23,master,7M06105 Computer Science and Engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,no,partial support,often,high,hard to say,rarely,important,2–8 hours,family support
2025-12-03 09:16:58.824,0,female,22-23,master,7M06105 Computer Science and Engineering,2 year,3.3-3.4,80-89%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",full support,sometimes,average,rather satisfied,sometimes,important,less than 1 hour,financial situation
2025-12-03 09:19:18.472,0,male,22-23,master,7M06105 Computer Science and Engineering,2 year,above 3.5,90-100%,computer sciences,1-3 hours,7-9 hours,high,no,full support,often,high,rather satisfied,never,important,less than 1 hour,family support
2025-12-04 09:05:54.362,0,male,20-21,master,7M06105 Computer Science and Engineering,1 year,2.8-3.0,90-100%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",no financial support,sometimes,high,fully satisfied,often,important,2–8 hours,personal motivation
2025-12-04 09:06:56.472,0,male,20-21,master,7M06105 Computer Science and Engineering,1 year,3.1-3.2,90-100%,technical sciences,1-3 hours,7-9 hours,high,no,full support,sometimes,high,fully satisfied,sometimes,important,2–8 hours,personal motivation
2025-12-04 09:07:44.786,0,male,20-21,master,7M06105 Computer Science and Engineering,1 year,3.1-3.2,90-100%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,high,rather satisfied,often,important,2–8 hours,personal motivation
2025-12-04 09:08:59.115,0,male,20-21,master,7M06105 Computer Science and Engineering,1 year,3.1-3.2,80-89%,humanities,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,high,rather satisfied,often,moderately important,9–15 hours,interest in the subject
2025-12-04 09:10:09.889,0,male,22-23,master,7M06105 Computer Science and Engineering,2 year,3.3-3.4,70-79%,computer sciences,1-3 hours,7-9 hours,very high,no,full support,often,high,fully satisfied,sometimes,important,9–15 hours,personal motivation
2025-12-04 09:11:23.036,0,female,20-21,master,7M06105 Computer Science and Engineering,1 year,3.1-3.2,90-100%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,rather satisfied,sometimes,important,2–8 hours,quality of teaching
2025-12-04 09:12:39.167,0,female,22-23,master,7M06105 Computer Science and Engineering,2 year,3.3-3.4,90-100%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,high,rather satisfied,rarely,important,2–8 hours,quality of teaching
2025-12-05 08:46:34.905,0,male,22-23,master,7M06103 Applied data Analytics,2 year,3.3-3.4,80-89%,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,sometimes,high,rather satisfied,rarely,important,2–8 hours,personal motivation
2025-12-05 08:47:11.616,0,male,22-23,master,7M06103 Applied data Analytics,2 year,3.1-3.2,90-100%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,high,rather dissatisfied,often,slightly important,2–8 hours,interest in the subject
2025-12-05 08:47:52.330,0,female,22-23,master,7M06103 Applied data Analytics,2 year,3.3-3.4,80-89%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,rarely,average,rather satisfied,sometimes,moderately important,2–8 hours,personal motivation
2025-12-05 08:48:38.946,0,female,22-23,master,7M06103 Applied data Analytics,2 year,below 2.7,70-79%,humanities,less than 1 hour,7-9 hours,average,"yes, full-time",partial support,never,low,rather dissatisfied,never,slightly important,do not prepare,quality of teaching
2025-12-05 08:49:30.383,0,female,22-23,master,7M06103 Applied data Analytics,2 year,below 2.7,below 70%,humanities,do not prepare,less than 6 hours,very low,"yes, full-time",no financial support,never,very low,not satisfied at all,never,not important,do not prepare,quality of teaching
2025-12-05 08:50:29.899,0,female,22-23,master,7M06103 Applied data Analytics,2 year,2.8-3.0,70-79%,technical sciences,less than 1 hour,7-9 hours,average,"yes, full-time",partial support,rarely,average,hard to say,rarely,moderately important,less than 1 hour,personal motivation
2025-12-05 08:51:27.551,0,male,22-23,master,7M06103 Applied data Analytics,2 year,3.3-3.4,90-100%,computer sciences,more than 4 hours,7-9 hours,very high,"yes, full-time",partial support,sometimes,very high,fully satisfied,often,very important,9–15 hours,personal motivation
2025-12-05 08:52:23.480,0,female,22-23,master,7M06103 Applied data Analytics,2 year,above 3.5,90-100%,computer sciences,1-3 hours,7-9 hours,very high,"yes, full-time",partial support,sometimes,high,rather satisfied,never,important,2–8 hours,quality of teaching
2025-12-05 08:53:39.451,0,male,22-23,master,7M06103 Applied data Analytics,2 year,2.8-3.0,70-79%,technical sciences,less than 1 hour,less than 6 hours,low,"yes, full-time",no financial support,rarely,average,rather dissatisfied,never,important,less than 1 hour,interest in the subject
2025-12-05 08:55:37.384,0,female,22-23,master,7M06103 Applied data Analytics,2 year,2.8-3.0,70-79%,humanities,less than 1 hour,7-9 hours,low,no,full support,rarely,low,rather dissatisfied,never,slightly important,less than 1 hour,quality of teaching
2025-12-05 08:57:09.495,0,female,22-23,master,7M06103 Applied data Analytics,2 year,above 3.5,80-89%,computer sciences,1-3 hours,7-9 hours,high,no,full support,sometimes,high,rather satisfied,never,important,2–8 hours,interest in the subject
2025-12-05 08:58:12.970,0,female,22-23,master,7M06103 Applied data Analytics,2 year,3.3-3.4,70-79%,technical sciences,less than 1 hour,7-9 hours,average,"yes, part-time",partial support,rarely,high,hard to say,rarely,important,less than 1 hour,quality of teaching
2025-12-05 09:02:42.683,0,female,22-23,master,7M06103 Applied data Analytics,2 year,above 3.5,80-89%,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,sometimes,average,hard to say,never,moderately important,2–8 hours,quality of teaching
2025-12-08 08:51:06.464,0,male,22-23,master,7M06103 Applied data Analytics,2 year,above 3.5,90-100%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,rather satisfied,rarely,important,2–8 hours,interest in the subject
2025-12-08 08:51:51.994,0,male,20-21,master,7M06103 Applied data Analytics,2 year,3.3-3.4,80-89%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,rarely,average,hard to say,often,important,2–8 hours,quality of teaching
2025-12-08 08:58:29.843,0,female,22-23,master,7M06103 Applied data Analytics,2 year,3.1-3.2,80-89%,humanities,1-3 hours,7-9 hours,high,"yes, full-time",partial support,rarely,average,rather satisfied,sometimes,slightly important,2–8 hours,financial situation
2025-12-08 08:59:52.831,0,female,20-21,master,7M06103 Applied data Analytics,2 year,3.1-3.2,80-89%,humanities,less than 1 hour,7-9 hours,high,no,full support,rarely,high,rather satisfied,rarely,important,2–8 hours,interest in the subject
2025-12-08 09:01:57.372,0,male,20-21,master,7M06103 Applied data Analytics,2 year,3.1-3.2,80-89%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,high,rather satisfied,sometimes,slightly important,2–8 hours,interest in the subject
2025-12-08 09:05:14.317,0,female,20-21,master,7M06103 Applied data Analytics,2 year,3.1-3.2,80-89%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",no financial support,often,high,rather satisfied,rarely,important,less than 1 hour,personal motivation
2025-12-08 09:09:02.931,0,male,22-23,master,7M06103 Applied data Analytics,2 year,2.8-3.0,70-79%,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,often,high,rather dissatisfied,rarely,not important,do not prepare,family support
2025-12-08 09:09:53.494,0,female,20-21,master,7M06103 Applied data Analytics,2 year,2.8-3.0,70-79%,computer sciences,do not prepare,less than 6 hours,low,no,full support,often,low,rather dissatisfied,never,not important,do not prepare,financial situation
2025-12-08 09:11:52.480,0,female,20-21,master,7M06103 Applied data Analytics,2 year,2.8-3.0,below 70%,humanities,do not prepare,less than 6 hours,low,"yes, full-time",partial support,rarely,average,not satisfied at all,never,not important,do not prepare,interest in the subject
2025-12-08 09:15:29.323,0,female,22-23,master,7M06103 Applied data Analytics,2 year,2.8-3.0,80-89%,humanities,do not prepare,7-9 hours,low,"yes, full-time",no financial support,sometimes,average,rather dissatisfied,never,important,do not prepare,quality of teaching
2025-12-08 10:36:14.257,0,female,20-21,master,7M06108 Applied Artificial Intelligence,2 year,3.1-3.2,70-79%,technical sciences,less than 1 hour,7-9 hours,average,"yes, full-time",no financial support,rarely,low,hard to say,rarely,moderately important,less than 1 hour,quality of teaching
2025-12-08 10:37:44.342,0,female,20-21,master,7M06103 Applied data Analytics,2 year,3.1-3.2,70-79%,computer sciences,less than 1 hour,7-9 hours,high,"yes, full-time",partial support,sometimes,low,rather dissatisfied,never,slightly important,do not prepare,financial situation
2025-12-08 10:38:47.068,0,male,22-23,master,7M06104 Computational Science,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,very high,"yes, full-time",partial support,sometimes,high,rather satisfied,often,important,9–15 hours,personal motivation
2025-12-08 10:39:29.924,0,male,22-23,master,7M06104 Computational Science,2 year,above 3.5,90-100%,computer sciences,more than 4 hours,7-9 hours,high,no,full support,often,high,fully satisfied,often,important,more than 16 hours,quality of teaching
2025-12-08 10:40:20.364,0,male,22-23,master,7M06104 Computational Science,2 year,3.1-3.2,80-89%,technical sciences,more than 4 hours,7-9 hours,high,no,partial support,often,high,rather satisfied,sometimes,moderately important,9–15 hours,interest in the subject
2025-12-08 10:41:04.457,0,male,22-23,master,7M06104 Computational Science,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,average,"yes, full-time",no financial support,sometimes,high,rather satisfied,sometimes,important,9–15 hours,interest in the subject
2025-12-08 10:42:05.681,0,male,20-21,master,7M06104 Computational Science,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,rather satisfied,often,important,more than 16 hours,quality of teaching
